iter	Passed	Remaining
0	141	141596
1	144	71890
2	147	48880
3	150	37431
4	154	30801
5	158	26308
6	162	22995
7	165	20494
8	169	18653
9	173	17170
10	175	15822
11	178	14702
12	180	13672
13	183	12902
14	186	12275
15	188	11602
16	191	11072
17	194	10608
18	196	10147
19	199	9789
20	202	9448
21	204	9101
22	207	8808
23	209	8515
24	211	8243
25	213	7993
26	215	7759
27	217	7548
28	219	7336
29	220	7138
30	222	6962
31	224	6783
32	225	6616
33	227	6462
34	228	6310
35	230	6164
36	231	6031
37	233	5912
38	235	5791
39	236	5675
40	238	5569
41	239	5471
42	241	5376
43	243	5281
44	244	5193
45	246	5104
46	247	5019
47	249	4940
48	250	4861
49	251	4785
50	253	4718
51	255	4649
52	256	4585
53	258	4522
54	259	4460
55	261	4402
56	262	4344
57	264	4288
58	265	4237
59	267	4185
60	268	4137
61	270	4091
62	272	4047
63	273	4001
64	275	3957
65	276	3913
66	277	3861
67	278	3819
68	280	3781
69	282	3748
70	283	3710
71	285	3675
72	286	3633
73	287	3600
74	289	3570
75	291	3538
76	292	3509
77	294	3479
78	295	3448
79	297	3420
80	298	3391
81	300	3365
82	302	3339
83	303	3313
84	305	3287
85	306	3260
86	308	3235
87	309	3210
88	311	3185
89	312	3161
90	314	3137
91	315	3116
92	317	3096
93	318	3074
94	320	3055
95	322	3036
96	324	3017
97	325	2999
98	327	2981
99	329	2962
100	330	2946
101	332	2928
102	334	2910
103	335	2892
104	337	2874
105	338	2858
106	340	2841
107	342	2825
108	343	2808
109	345	2793
110	346	2778
111	348	2763
112	349	2746
113	351	2728
114	352	2713
115	354	2699
116	355	2685
117	357	2671
118	359	2658
119	360	2645
120	362	2632
121	364	2620
122	365	2608
123	367	2596
124	369	2584
125	370	2572
126	372	2560
127	374	2549
128	375	2537
129	377	2524
130	378	2513
131	380	2502
132	382	2490
133	383	2479
134	385	2469
135	386	2457
136	388	2447
137	390	2436
138	391	2425
139	393	2414
140	394	2405
141	396	2395
142	397	2384
143	399	2375
144	401	2365
145	402	2355
146	404	2346
147	405	2336
148	407	2326
149	408	2316
150	410	2307
151	411	2298
152	413	2289
153	415	2279
154	416	2272
155	418	2265
156	420	2257
157	421	2248
158	423	2240
159	425	2231
160	426	2223
161	428	2216
162	429	2207
163	431	2198
164	432	2189
165	434	2181
166	436	2175
167	437	2167
168	439	2158
169	440	2151
170	442	2144
171	443	2137
172	445	2129
173	446	2121
